Hindi_TAM	semantics	Number_of_variable_assigned_for_auxiliary	English_Tam	English_example	tuple_info_for_each_auxiliary
gA_1	future	2	will	will_do	('will', 'vbmod', 'pres');('vm', 'vblex', 'inf')
0_rahA_hE_1	present_continuous	2	is+-ing	is_doing	('be', 'vaux', 'pres', 'per', 'num',);('vm', 'vblex', 'pprs')
0_rahA_WA_1	past_continuous	2	was+-ing	was_doing	('be', 'vaux', 'past', 'per', 'num',);('vm', 'vblex', 'pprs')
0_rahA_hogA_1	future_continuous	4	will+have+been+-ing	will_have_been_reading	('will', 'vbmod', 'pres');('have', 'vbmod', 'inf');('be', 'vbser', 'pp');('vm','vblex', 'pprs')
yA_hE_1	past	2	has+-ed	has_gone	('have', 'vbmod', 'pres', 'per', 'num');('vm', 'vblex', 'inf')
pres	present 	1	is 	is	('be', 'vblex', 'pres', 'per', 'num')
past	past	1	was 	was	('be', 'vblex', 'past', 'per', 'num')
wA_rahawA_hE_1	continuous_habitual	3	keep+on+-ing	keeps_on_doing	('keep', 'vblex', 'pres', 'per', 'num', '# on');('vm', 'vblex', 'pprs')
nA_hE_1	compulsion	2	have+to	have_to_do	('have', 'vbmod', 'pres', 'per', 'num', '# to');('vm', 'vblex', 'inf')
nA_hogA_1	must	2	pres_verb	must_do	('must','vbmod','pres'); ('vm','vblex','inf')
nA_cAhie_1	should	2	past_verb	shall_go	('shall', 'vbmod', 'past',);('vm', 'vblex', 'inf')
nA_cAhie_2	must	2	pres_verb	must_do	('must', 'vbmod', 'pres',);('vm', 'vblex', 'inf')
yA_1	past	1	-ed	filled	('vm', 'vblex', 'past')
0_sakawA_hE_1 	pres	2	can	can_do	('can','vbmod','pres');('vm','vblex','pres')
wA_hE_1	simple_present	1	pres 	pres	('vm', 'vblex', 'pres', 'per', 'num')
yA_hE_2	present_continuous	1	verb+ing	eating	('vblex', 'pres', 'per', 'num');('be', 'vaux', 'pres', 'per', 'num')
yA_WA_2	Past_perfect	2	had+verb-en	had performed	('have', 'vbmod', 'past');('vm', 'vblex', 'pp')
yA_hogA_1	Future_perfect	3	will_have_en	will_have_eaten	('will', 'vbmod', 'pres');('have', 'vbhaver', 'inf');('vm', 'vblex', 'pp')
yA_hogA_3	past_perfect	3	must_have_en	must_have_eaten	('have', 'vbhaver', 'past');('vm', 'vblex', 'pp')
yA_hogA_2	modal_perfect 	3	might_have_en	might_have_eaten	('might', 'vbmod', 'pres');('have', 'vbhaver', 'inf');('vm', 'vblex', 'pp')
yA_WA_1	past	2	do_verb	did_eat	('do', 'vbdo', 'past');('vm', 'vblex', 'inf')
nA_padZegA_1	compulsion	2	will+have+to	will_have_to_do	('will', 'vbmod', 'inf');('have', 'vbmod', 'inf', '# to');('vm', 'vblex', 'inf')